TAZ_O,TAZ_D,volume
17031031400,17031031501,53
17031031400,17031031502,71
17031031400,17031031700,269
17031031400,17031032100,419
17031031400,17031050100,86
17031031400,17031050500,86
17031031400,17031050600,88
17031031400,17031050700,17
17031031400,17031050800,31
17031031400,17031050900,6
17031031400,17031051000,15
17031031400,17031051100,37
17031031400,17031051200,22
17031031400,17031051300,13
17031031400,17031051400,25
17031031400,17031060100,51
17031031400,17031060200,55
17031031400,17031060300,63
17031031400,17031060400,260
17031031400,17031060500,53
17031031400,17031060800,152
17031031400,17031060900,431
17031031400,17031061000,433
17031031400,17031061100,277
17031031400,17031061200,140
17031031400,17031061500,84
17031031400,17031061800,68
17031031400,17031061901,275
17031031400,17031061902,214
17031031400,17031062000,409
17031031400,17031062100,792
17031031400,17031062200,197
17031031400,17031062300,52
17031031400,17031062400,79
17031031400,17031062500,110
17031031400,17031062600,50
17031031400,17031062700,123
17031031400,17031062800,147
17031031400,17031062900,227
17031031400,17031063000,370
17031031400,17031063100,242
17031031400,17031063200,295
17031031400,17031063301,150
17031031400,17031063302,254
17031031400,17031063303,82
17031031400,17031063400,285
17031031400,17031070101,225
17031031400,17031070102,135
17031031400,17031070103,43
17031031400,17031070200,205
17031031400,17031070300,208
17031031400,17031070400,87
17031031400,17031070500,72
17031031400,17031070600,75
17031031400,17031070700,93
17031031400,17031071000,89
17031031400,17031071100,154
17031031400,17031071200,171
17031031400,17031071300,73
17031031400,17031071400,238
17031031400,17031071500,610
17031031400,17031071600,9
17031031400,17031071700,14
17031031400,17031071800,62
17031031400,17031080100,126
17031031400,17031080201,78
17031031400,17031080202,156
17031031400,17031080300,315
17031031400,17031080400,46
17031031400,17031081000,218
17031031400,17031081100,227
17031031400,17031081201,569
17031031400,17031081202,202
17031031400,17031081300,290
17031031400,17031081401,626
17031031400,17031081402,290
17031031400,17031081403,623
17031031400,17031081500,761
17031031400,17031081600,310
17031031400,17031081700,771
17031031400,17031081800,489
17031031400,17031081900,15
17031031400,17031210100,66
17031031400,17031210900,66
17031031400,17031220300,18
17031031400,17031220400,67
17031031400,17031221200,21
17031031400,17031221300,86
17031031400,17031221400,66
17031031400,17031221500,34
17031031400,17031221600,20
17031031400,17031222200,31
17031031400,17031222500,9
17031031400,17031222600,5
17031031400,17031230100,2
17031031400,17031230900,6
17031031400,17031240200,11
17031031400,17031240300,67
17031031400,17031240500,80
17031031400,17031240600,9
17031031400,17031240700,1
17031031400,17031240800,0
17031031400,17031240900,17
17031031400,17031241000,9
17031031400,17031241100,34
17031031400,17031241200,18
17031031400,17031241300,15
17031031400,17031241400,238
17031031400,17031241500,174
17031031400,17031241600,96
17031031400,17031242000,78
17031031400,17031242100,99
17031031400,17031242200,68
17031031400,17031242300,41
17031031400,17031242400,40
17031031400,17031242500,16
17031031400,17031242600,62
17031031400,17031242700,2
17031031400,17031242800,6
17031031400,17031242900,9
17031031400,17031243000,23
17031031400,17031243100,21
17031031400,17031243200,25
17031031400,17031243300,24
17031031400,17031243400,39
17031031400,17031243500,139
17031031400,17031271200,0
17031031400,17031271300,0
17031031400,17031271800,0
17031031400,17031280100,334
17031031400,17031280400,8
17031031400,17031280800,1
17031031400,17031280900,2
17031031400,17031281900,555
17031031400,17031282700,2
17031031400,17031282800,2
17031031400,17031283100,23
17031031400,17031283200,0
17031031400,17031283800,3
17031031400,17031291600,1
17031031400,17031301200,1
17031031400,17031310200,14
17031031400,17031310300,6
17031031400,17031310400,2
17031031400,17031310500,7
17031031400,17031310600,50
17031031400,17031310700,3
17031031400,17031310800,8
17031031400,17031310900,11
17031031400,17031320100,1123
17031031400,17031320400,401
17031031400,17031320600,194
17031031400,17031330100,578
17031031400,17031330200,19
17031031400,17031340300,0
17031031400,17031340400,0
17031031400,17031340500,33
17031031400,17031340600,5
17031031400,17031350100,21
17031031400,17031350400,0
17031031400,17031351000,35
17031031400,17031351100,3
17031031400,17031351400,0
17031031400,17031351500,0
17031031400,17031360200,0
17031031400,17031380500,0
17031031400,17031590700,4
17031031400,17031600400,0
17031031400,17031600600,1
17031031400,17031600700,0
17031031400,17031600900,2
17031031400,17031830700,451
17031031400,17031830900,142
17031031400,17031831000,40
17031031400,17031831900,169
17031031400,17031832000,383
17031031400,17031832100,216
17031031400,17031832200,47
17031031400,17031832300,75
17031031400,17031832400,31
17031031400,17031832500,176
17031031400,17031832600,243
17031031400,17031832900,3
17031031400,17031833000,744
17031031400,17031833100,178
17031031400,17031833300,22
17031031400,17031835500,0
17031031400,17031835900,1
17031031400,17031836500,3
17031031400,17031836600,5
17031031400,17031836700,8
17031031400,17031836800,6
17031031400,17031836900,0
17031031400,17031837000,0
17031031400,17031837100,5
17031031400,17031837300,0
17031031400,17031837400,3
17031031400,17031837800,42
17031031400,17031838000,13
17031031400,17031838100,85
17031031400,17031838200,89
17031031400,17031838300,85
17031031400,17031838600,0
17031031400,17031839000,262
17031031400,17031839100,1310
17031031400,17031839200,7
17031031400,17031839500,4
17031031400,17031839600,0
17031031400,17031839700,13
17031031400,17031839800,3
17031031400,17031839900,5
17031031400,17031840000,4
17031031400,17031840100,0
17031031400,17031840200,0
17031031400,17031840300,2
17031031400,17031840400,1
17031031400,17031840700,2
17031031400,17031841000,60
17031031400,17031841100,48
17031031400,17031841200,5
17031031400,17031841300,7
17031031400,17031841900,130
17031031400,17031842000,5
17031031400,17031842200,307
17031031400,17031842300,193
17031031400,17031842600,32
17031031400,17031842900,10
17031031400,17031843100,19
17031031400,17031843200,22
17031031400,17031843300,21
17031031400,17031843700,101
17031031501,17031031400,63
17031031501,17031031502,11
17031031501,17031031700,25
17031031501,17031032100,86
17031031501,17031050100,10
17031031501,17031050500,6
17031031501,17031050600,5
17031031501,17031050700,1
17031031501,17031050800,6
17031031501,17031050900,0
17031031501,17031051000,4
17031031501,17031051100,4
17031031501,17031051200,1
17031031501,17031051300,1
17031031501,17031051400,4
17031031501,17031060100,7
17031031501,17031060200,6
17031031501,17031060300,5
17031031501,17031060400,19
17031031501,17031060500,5
17031031501,17031060800,26
17031031501,17031060900,64
17031031501,17031061000,71
17031031501,17031061100,53
17031031501,17031061200,18
17031031501,17031061500,1
17031031501,17031061800,10
17031031501,17031061901,26
17031031501,17031061902,25
17031031501,17031062000,65
17031031501,17031062100,139
17031031501,17031062200,15
17031031501,17031062300,4
17031031501,17031062400,3
17031031501,17031062500,19
17031031501,17031062600,8
17031031501,17031062700,10
17031031501,17031062800,5
17031031501,17031062900,16
17031031501,17031063000,32
17031031501,17031063100,25
17031031501,17031063200,46
17031031501,17031063301,8
17031031501,17031063302,31
17031031501,17031063303,7
17031031501,17031063400,37
17031031501,17031070101,20
17031031501,17031070102,19
17031031501,17031070103,7
17031031501,17031070200,20
17031031501,17031070300,19
17031031501,17031070400,7
17031031501,17031070500,2
17031031501,17031070600,11
17031031501,17031070700,7
17031031501,17031071000,4
17031031501,17031071100,8
17031031501,17031071200,18
17031031501,17031071300,8
17031031501,17031071400,36
17031031501,17031071500,56
17031031501,17031071600,1
17031031501,17031071700,2
17031031501,17031071800,12
17031031501,17031080100,12
17031031501,17031080201,6
17031031501,17031080202,9
17031031501,17031080300,36
17031031501,17031080400,9
17031031501,17031081000,20
17031031501,17031081100,19
17031031501,17031081201,89
17031031501,17031081202,15
17031031501,17031081300,53
17031031501,17031081401,73
17031031501,17031081402,43
17031031501,17031081403,79
17031031501,17031081500,121
17031031501,17031081600,50
17031031501,17031081700,130
17031031501,17031081800,79
17031031501,17031081900,1
17031031501,17031210100,16
17031031501,17031210900,9
17031031501,17031220300,7
17031031501,17031220400,4
17031031501,17031221200,0
17031031501,17031221300,10
17031031501,17031221400,10
17031031501,17031221500,7
17031031501,17031221600,3
17031031501,17031222200,4
17031031501,17031222500,2
17031031501,17031222600,2
17031031501,17031230100,0
17031031501,17031230900,3
17031031501,17031240200,0
17031031501,17031240300,6
17031031501,17031240500,11
17031031501,17031240600,3
17031031501,17031240700,3
17031031501,17031240800,0
17031031501,17031240900,2
17031031501,17031241000,1
17031031501,17031241100,6
17031031501,17031241200,4
17031031501,17031241300,4
17031031501,17031241400,41
17031031501,17031241500,25
17031031501,17031241600,6
17031031501,17031242000,8
17031031501,17031242100,11
17031031501,17031242200,3
17031031501,17031242300,7
17031031501,17031242400,20
17031031501,17031242500,4
17031031501,17031242600,12
17031031501,17031242700,0
17031031501,17031242800,2
17031031501,17031242900,0
17031031501,17031243000,0
17031031501,17031243100,7
17031031501,17031243200,2
17031031501,17031243300,4
17031031501,17031243400,3
17031031501,17031243500,14
17031031501,17031271200,1
17031031501,17031271300,0
17031031501,17031271800,0
17031031501,17031280100,51
17031031501,17031280400,1
17031031501,17031280800,0
17031031501,17031280900,0
17031031501,17031281900,67
17031031501,17031282700,5
17031031501,17031282800,1
17031031501,17031283100,1
17031031501,17031283200,1
17031031501,17031283800,1
17031031501,17031291600,1
17031031501,17031301200,1
17031031501,17031310200,9
17031031501,17031310300,1
17031031501,17031310400,0
17031031501,17031310500,2
17031031501,17031310600,6
17031031501,17031310700,0
17031031501,17031310800,3
17031031501,17031310900,2
17031031501,17031320100,148
17031031501,17031320400,65
17031031501,17031320600,20
17031031501,17031330100,53
17031031501,17031330200,4
17031031501,17031340300,0
17031031501,17031340400,0
17031031501,17031340500,3
17031031501,17031340600,0
17031031501,17031350100,3
17031031501,17031350400,0
17031031501,17031351000,14
17031031501,17031351100,0
17031031501,17031351400,1
17031031501,17031351500,0
17031031501,17031360200,0
17031031501,17031380500,0
17031031501,17031590700,0
17031031501,17031600400,1
17031031501,17031600600,0
17031031501,17031600700,0
17031031501,17031600900,0
17031031501,17031830700,83
17031031501,17031830900,44
17031031501,17031831000,6
17031031501,17031831900,35
17031031501,17031832000,55
17031031501,17031832100,28
17031031501,17031832200,5
17031031501,17031832300,6
17031031501,17031832400,5
17031031501,17031832500,15
17031031501,17031832600,29
17031031501,17031832900,1
17031031501,17031833000,166
17031031501,17031833100,19
17031031501,17031833300,3
17031031501,17031835500,0
17031031501,17031835900,0
17031031501,17031836500,0
17031031501,17031836600,3
17031031501,17031836700,1
17031031501,17031836800,4
17031031501,17031836900,0
17031031501,17031837000,0
17031031501,17031837100,0
17031031501,17031837300,0
17031031501,17031837400,3
17031031501,17031837800,8
17031031501,17031838000,3
17031031501,17031838100,12
17031031501,17031838200,16
17031031501,17031838300,10
17031031501,17031838600,0
17031031501,17031839000,22
17031031501,17031839100,141
17031031501,17031839200,6
17031031501,17031839500,1
17031031501,17031839600,0
