TAZ_index_1,TAZ_index_2,Dis_TAZ
0,0,0
0,1,1000
0,2,2000
0,3,3000
0,4,4000
0,5,5000
0,6,6000
0,7,7000
0,8,3163.488342
0,9,2237.779813
0,10,1416.91866
0,11,1003.821941
0,12,1416.91866
0,13,2237.779813
0,14,3163.488342
0,15,4124.034249
0,16,5099.770435
0,17,6083.392022
0,18,7071.609328
0,19,3609.796502
0,20,2833.83676
0,21,2242.906771
0,22,2007.643091
0,23,2242.906771
0,24,2833.83676
0,25,3609.796502
0,26,4475.55927
0,27,5388.008053
0,28,6326.976433
0,29,7282.213316
0,30,4250.754299
0,31,3615.095035
0,32,3173.154914
0,33,3011.46345
0,34,3173.154914
0,35,3615.095035
0,36,4250.754299
0,37,5006.886469
0,38,5836.858068
0,39,6713.338373
0,40,7620.296064
0,41,5012.234802
0,42,4485.810708
0,43,4137.93399
0,44,4015.283017
0,45,4137.93399
0,46,4485.810708
0,47,5012.234802
0,48,5667.671277
0,49,6412.682567
0,50,7219.591242
0,51,8069.851158
0,52,5847.339806
0,53,5402.905034
0,54,5117.751734
0,55,5019.101793
0,56,5117.751734
0,57,5402.905034
0,58,5847.339806
0,59,6418.051325
0,60,7084.587695
0,61,7822.49211
0,62,8613.441984
0,63,6728.711812
0,64,6346.303069
0,65,6105.371622
0,66,6022.919777
0,67,6105.371622
0,68,6346.303069
0,69,6728.711812
0,70,7230.184136
0,71,7827.870888
0,72,8501.503552
0,73,9234.476847
1,0,1000
1,1,0
1,2,1000
1,3,2000
1,4,3000
1,5,4000
1,6,5000
1,7,6000
1,8,4124.034249
1,9,3163.488342
1,10,2237.779813
1,11,1416.91866
1,12,1003.821941
1,13,1416.91866
1,14,2237.779813
1,15,3163.488342
1,16,4124.034249
1,17,5099.770435
1,18,6083.392022
1,19,4475.55927
1,20,3609.796502
1,21,2833.83676
1,22,2242.906771
1,23,2007.643091
1,24,2242.906771
1,25,2833.83676
1,26,3609.796502
1,27,4475.55927
1,28,5388.008053
1,29,6326.976433
1,30,5006.886469
1,31,4250.754299
1,32,3615.095035
1,33,3173.154914
1,34,3011.46345
1,35,3173.154914
1,36,3615.095035
1,37,4250.754299
1,38,5006.886469
1,39,5836.858068
1,40,6713.338373
1,41,5667.671277
1,42,5012.234802
1,43,4485.810708
1,44,4137.93399
1,45,4015.283017
1,46,4137.93399
1,47,4485.810708
1,48,5012.234802
1,49,5667.671277
1,50,6412.682567
1,51,7219.591242
1,52,6418.051325
1,53,5847.339806
1,54,5402.905034
1,55,5117.751734
1,56,5019.101793
1,57,5117.751734
1,58,5402.905034
1,59,5847.339806
1,60,6418.051325
1,61,7084.587695
1,62,7822.49211
1,63,7230.184136
1,64,6728.711812
1,65,6346.303069
1,66,6105.371622
1,67,6022.919777
1,68,6105.371622
1,69,6346.303069
1,70,6728.711812
1,71,7230.184136
1,72,7827.870888
1,73,8501.503552
2,0,2000
2,1,1000
2,2,0
2,3,1000
2,4,2000
2,5,3000
2,6,4000
2,7,5000
2,8,5099.770435
2,9,4124.034249
2,10,3163.488342
2,11,2237.779813
2,12,1416.91866
2,13,1003.821941
2,14,1416.91866
2,15,2237.779813
2,16,3163.488342
2,17,4124.034249
2,18,5099.770435
2,19,5388.008053
2,20,4475.55927
2,21,3609.796502
2,22,2833.83676
2,23,2242.906771
2,24,2007.643091
2,25,2242.906771
2,26,2833.83676
2,27,3609.796502
2,28,4475.55927
2,29,5388.008053
2,30,5836.858068
2,31,5006.886469
2,32,4250.754299
2,33,3615.095035
2,34,3173.154914
2,35,3011.46345
2,36,3173.154914
2,37,3615.095035
2,38,4250.754299
2,39,5006.886469
2,40,5836.858068
2,41,6412.682567
2,42,5667.671277
2,43,5012.234802
2,44,4485.810708
2,45,4137.93399
2,46,4015.283017
2,47,4137.93399
2,48,4485.810708
2,49,5012.234802
2,50,5667.671277
2,51,6412.682567
2,52,7084.587695
2,53,6418.051325
2,54,5847.339806
2,55,5402.905034
2,56,5117.751734
2,57,5019.101793
2,58,5117.751734
2,59,5402.905034
2,60,5847.339806
2,61,6418.051325
2,62,7084.587695
2,63,7827.870888
2,64,7230.184136
2,65,6728.711812
2,66,6346.303069
2,67,6105.371622
2,68,6022.919777
2,69,6105.371622
2,70,6346.303069
2,71,6728.711812
2,72,7230.184136
2,73,7827.870888
3,0,3000
3,1,2000
3,2,1000
3,3,0
3,4,1000
3,5,2000
3,6,3000
3,7,4000
3,8,6083.392022
3,9,5099.770435
3,10,4124.034249
3,11,3163.488342
3,12,2237.779813
3,13,1416.91866
3,14,1003.821941
3,15,1416.91866
3,16,2237.779813
3,17,3163.488342
3,18,4124.034249
3,19,6326.976433
3,20,5388.008053
3,21,4475.55927
3,22,3609.796502
3,23,2833.83676
3,24,2242.906771
3,25,2007.643091
3,26,2242.906771
3,27,2833.83676
3,28,3609.796502
3,29,4475.55927
3,30,6713.338373
3,31,5836.858068
3,32,5006.886469
3,33,4250.754299
3,34,3615.095035
3,35,3173.154914
3,36,3011.46345
3,37,3173.154914
3,38,3615.095035
3,39,4250.754299
3,40,5006.886469
3,41,7219.591242
3,42,6412.682567
3,43,5667.671277
3,44,5012.234802
3,45,4485.810708
3,46,4137.93399
3,47,4015.283017
3,48,4137.93399
3,49,4485.810708
3,50,5012.234802
3,51,5667.671277
3,52,7822.49211
3,53,7084.587695
3,54,6418.051325
3,55,5847.339806
3,56,5402.905034
3,57,5117.751734
3,58,5019.101793
3,59,5117.751734
3,60,5402.905034
3,61,5847.339806
3,62,6418.051325
3,63,8501.503552
3,64,7827.870888
3,65,7230.184136
3,66,6728.711812
3,67,6346.303069
3,68,6105.371622
3,69,6022.919777
3,70,6105.371622
3,71,6346.303069
3,72,6728.711812
3,73,7230.184136
4,0,4000
4,1,3000
4,2,2000
4,3,1000
4,4,0
4,5,1000
4,6,2000
4,7,3000
4,8,7071.609328
4,9,6083.392022
4,10,5099.770435
4,11,4124.034249
4,12,3163.488342
4,13,2237.779813
4,14,1416.91866
4,15,1003.821941
4,16,1416.91866
4,17,2237.779813
4,18,3163.488342
4,19,7282.213316
4,20,6326.976433
4,21,5388.008053
4,22,4475.55927
4,23,3609.796502
4,24,2833.83676
4,25,2242.906771
4,26,2007.643091
4,27,2242.906771
4,28,2833.83676
4,29,3609.796502
4,30,7620.296064
4,31,6713.338373
4,32,5836.858068
4,33,5006.886469
4,34,4250.754299
4,35,3615.095035
4,36,3173.154914
4,37,3011.46345
4,38,3173.154914
4,39,3615.095035
4,40,4250.754299
4,41,8069.851158
4,42,7219.591242
4,43,6412.682567
4,44,5667.671277
4,45,5012.234802
4,46,4485.810708
4,47,4137.93399
4,48,4015.283017
4,49,4137.93399
4,50,4485.810708
